Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
1,22,female,2,own,little,moderate,5951,48,radio/TV
3,45,male,2,free,little,little,7882,42,furniture/equipment
4,53,male,2,free,little,little,4870,24,car
7,35,male,3,rent,little,moderate,6948,36,car
9,28,male,3,own,little,moderate,5234,30,car
10,25,female,2,rent,little,moderate,1295,12,car
11,24,female,2,rent,little,little,4308,48,business
12,22,female,2,own,little,moderate,1567,12,radio/TV
13,60,male,1,own,little,little,1199,24,car
14,28,female,2,rent,little,little,1403,15,car
15,32,female,1,own,moderate,little,1282,24,radio/TV
18,44,female,3,free,little,moderate,12579,24,car
21,44,male,2,rent,quite rich,little,2647,6,radio/TV
22,48,male,1,rent,little,little,2241,10,car
23,44,male,2,own,moderate,moderate,1804,12,car
25,36,male,1,own,little,little,1374,6,furniture/equipment
27,42,female,2,rent,rich,rich,409,12,radio/TV
28,34,male,2,own,little,moderate,2415,7,radio/TV
29,63,male,2,own,little,little,6836,60,business
30,36,male,2,own,rich,moderate,1913,18,business
31,27,male,2,own,little,little,4020,24,furniture/equipment
32,30,male,2,own,moderate,moderate,5866,18,car
34,33,female,3,own,little,rich,1474,12,furniture/equipment
35,25,male,1,own,little,moderate,4746,45,radio/TV
37,37,male,2,own,little,rich,2100,18,radio/TV
38,37,male,2,own,little,rich,1225,10,domestic appliances
39,24,male,2,own,little,moderate,458,9,radio/TV
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV
42,44,male,1,own,little,moderate,6204,18,repairs
43,24,male,2,rent,moderate,little,6187,30,car
44,58,female,1,free,little,little,6143,48,car
47,23,female,0,rent,quite rich,little,1352,6,car
51,30,male,3,own,little,moderate,5965,27,car
54,57,male,2,free,little,moderate,2225,36,car
58,23,female,3,own,little,rich,1961,18,car
59,23,female,1,rent,little,little,6229,36,furniture/equipment
60,27,male,2,own,little,moderate,1391,9,business
62,61,male,3,free,little,moderate,1953,36,business
63,25,male,2,own,little,moderate,14421,48,business
67,22,male,2,own,rich,moderate,1007,12,car
